file,grid,chunk,density,scheme,seed,update,cpu_record_avg,cpu_record_p99,gpu_exec_avg,gpu_exec_p99,frame_wall_avg,frame_wall_p99,cpu_wait_avg
grid4096_chunk16_dens50_scheme3_seed42.csv,4096,16,50,3,42,0,31.202,51.7,46915.6,57376.6,57.7135,101,22.628
grid4096_chunk16_dens50_scheme3_seed9999.csv,4096,16,50,3,9999,0,27.744,56.9,10681.6,50549.9,50.509,105.2,19.6145
grid4096_chunk16_dens80_scheme1_seed1337.csv,4096,16,80,1,1337,0,16451.3,25835.5,3.23024,5.696,16476.3,25859.5,22.5545
grid4096_chunk16_dens80_scheme1_seed42.csv,4096,16,80,1,42,0,18653.1,25606.8,14731.4,53344.5,18682.9,25636.8,26.8105
grid4096_chunk16_dens80_scheme1_seed9999.csv,4096,16,80,1,9999,0,21404.9,30944.3,452146,715101,21451.7,30990.3,42.1545
grid4096_chunk16_dens80_scheme2_seed1337.csv,4096,16,80,2,1337,0,26274,41174.4,57750.7,58722,26309.4,41219,31.6715
grid4096_chunk16_dens80_scheme2_seed42.csv,4096,16,80,2,42,0,25982,40475.4,57766.7,58607.7,26015.8,40513.3,30.2285
grid4096_chunk16_dens80_scheme2_seed9999.csv,4096,16,80,2,9999,0,25275.8,35839.8,281058,353640,25315.3,35885.2,35.233
grid4096_chunk16_dens80_scheme3_seed1337.csv,4096,16,80,3,1337,0,38.719,70.8,66512.4,67648.7,70.9965,137,27.656
grid4096_chunk16_dens80_scheme3_seed42.csv,4096,16,80,3,42,0,35.2815,65.2,66478,67573.6,65.308,131.5,25.774
grid4096_chunk16_dens80_scheme3_seed9999.csv,4096,16,80,3,9999,0,41.3065,76.3,650205,689549,76.4905,153.2,29.9465
