frame,cpu_us,gpu_us,total_us,draw_calls,visible_instances
222,5119.08,207.424,5326.5,2,82
223,5337.66,207.136,5544.8,2,82
224,6282.14,207.456,6489.6,2,82
225,3721.27,207.232,3928.5,2,82
226,5127.84,207.456,5335.3,2,82
227,5974.51,213.888,6188.4,2,82
228,5689.6,344.096,6033.7,2,82
229,2060.71,207.392,2268.1,2,82
230,5959.44,207.36,6166.8,2,82
231,4136.64,207.264,4343.9,2,82
232,4866.86,207.136,5074,2,82
233,5471.72,206.976,5678.7,2,82
234,4808.62,207.776,5016.4,2,82
235,4999.34,207.264,5206.6,2,82
236,5122.33,207.168,5329.5,2,82
237,5938.19,207.712,6145.9,2,82
238,4247.54,207.456,4455,2,82
239,5098.9,207.104,5306,2,82
240,6986.19,207.808,7194,2,82
241,3362.55,207.648,3570.2,2,82
242,5436.07,207.232,5643.3,2,82
243,4564.13,207.168,4771.3,2,82
244,5715.07,200.832,5915.9,2,82
245,4456.03,201.568,4657.6,2,82
246,5216.88,201.12,5418,2,82
247,5141.94,201.056,5343,2,82
248,5196.95,201.248,5398.2,2,82
249,5136.49,201.312,5337.8,2,82
250,6043.82,200.48,6244.3,2,82
251,4677.12,201.376,4878.5,2,82
252,4762.76,201.44,4964.2,2,82
253,5481.54,200.96,5682.5,2,82
254,4904.15,201.248,5105.4,2,82
255,5016.07,201.632,5217.7,2,82
256,5176.46,201.44,5377.9,2,82
257,6387.14,201.056,6588.2,2,82
258,3930.61,201.088,4131.7,2,82
259,5137.31,201.088,5338.4,2,82
260,5304.12,201.28,5505.4,2,82
261,6055.27,200.832,6256.1,2,82
262,4632.61,203.392,4836,2,82
263,3917.08,201.216,4118.3,2,82
264,5966.83,317.472,6284.3,2,82
265,2516.02,201.28,2717.3,2,82
266,5019.74,201.76,5221.5,2,82
267,5687.51,201.792,5889.3,2,82
268,5178.89,200.608,5379.5,2,82
269,5479.26,201.536,5680.8,2,82
270,5002.87,201.632,5204.5,2,82
271,6249.25,201.152,6450.4,2,82
272,3980.86,201.44,4182.3,2,82
273,5062.32,214.176,5276.5,2,82
274,5265.9,214.304,5480.2,2,82
275,4871.1,214.4,5085.5,2,82
276,5081.38,214.624,5296,2,82
277,5264.32,214.88,5479.2,2,82
278,4913.79,215.008,5128.8,2,82
279,5040.03,214.272,5254.3,2,82
280,5205.1,214.496,5419.6,2,82
281,5601.23,214.368,5815.6,2,82
282,5533.89,214.112,5748,2,82
283,4653.08,214.016,4867.1,2,82
284,4970.02,214.176,5184.2,2,82
285,5059.36,214.944,5274.3,2,82
286,5292.89,214.208,5507.1,2,82
287,4854.11,214.592,5068.7,2,82
288,5056.86,214.144,5271,2,82
289,6701.18,214.72,6915.9,2,82
290,3605,215.2,3820.2,2,82
291,5484.19,214.112,5698.3,2,82
292,4475.6,214.496,4690.1,2,82
293,5202.06,214.944,5417,2,82
294,6054.11,214.592,6268.7,2,82
295,3882.72,214.88,4097.6,2,82
296,5122.92,214.176,5337.1,2,82
297,5095.52,214.176,5309.7,2,82
298,5077.53,214.368,5291.9,2,82
299,5084.94,214.656,5299.6,2,82

CPU_us_summary,avg,min,max,p1,p99,stddev
CPU,5001.44,1568.61,8623.07,2329.48,7361.02,914.244

GPU_us_summary,avg,min,max,p1,p99,stddev
GPU,221.895,200.48,344.096,200.832,307.872,17.3484

Total_us_summary,avg,min,max,p1,p99,stddev
Total,5223.34,1776.1,8830.3,2544.1,7583,914.275
